code,name,secondary_name,state,begin_date,end_date,campaign,result,latitude,longitude,coord_source,summary
LA010,Port Hudson,,LA,5/22/1863,7/9/1863,Siege of Port Hudson,Union Victory,30.85,-91.05,Wikidata Q860295,"In cooperation with Maj. Gen. Ulysses S. Grant’s offensive against Vicksburg, Union Maj. Gen. Nathaniel P. Banks’s army moved against the Confederate stronghold at Port Hudson on the Mississippi River. On May 27, after their frontal assaults were repulsed, the Federals settled into a siege which lasted for 48 days. Banks renewed his assaults on June 14 but the defenders successfully repelled them. On July 9, 1863, after hearing of the fall of Vicksburg, the Confederate garrison of Port Hudson surrendered, opening the Mississippi River to Union navigation from its source to New Orleans."
LA011,Milliken's Bend,,LA,6/7/1863,6/7/1863,Grant's Operations Against Vicksburg,Union Victory,32.44,-91.1,Wikidata Q2649895,"On June 6, Col. Hermann Lieb with the African Brigade and two companies of the 10th Illinois Cavalry made a reconnaissance toward Richmond, Louisiana. About three miles from Richmond, Lieb encountered enemy troops at the Tallulah railroad depot and drove them back but then retired, fearing that many more Rebels might be near. While retiring, a squad of Union cavalry appeared, fleeing from a force of Rebels. Lieb got his men into battle line and helped disperse the pursuing enemy. He then retired to Milliken’s Bend and informed his superior by courier of his actions. The 23rd Iowa Infantry and "
LA012,LaFourche Crossing,Lafourche Crossing,LA,6/20/1863,6/21/1863,Taylor's Operations in Louisiana West of Mississip,Union Victory,29.7668,-90.7646,Wikidata Q2395990,"Maj. Gen. Richard Taylor sent an expedition under Col. James P. Major to break Union supply lines, disrupt Union activities and force an enemy withdrawal from Brashear (Morgan) City and Port Hudson. Major set out from Washington, Louisiana, on Bayou Teche, heading south and east. While marching, his men conducted raids on Union forces, boats, and plantations and in the process captured animals and supplies and liberated slaves. Brig. Gen. William H. Emory, commanding the defenses of New Orleans, assigned Lt. Col. Albert Stickney to command in Brashear City and to stem the Rebel raid if possibl"
LA013,Donaldsonville II,,LA,6/28/1863,6/28/1863,Taylor's Operations in Louisiana West of Mississip,Indecisive,30.10833333,-90.99138889,Wikidata Q1867306,"On June 28, 1863, Confederate Brig. Gen. Jean Alfred Mouton ordered Brig. Gen. Tom Green’s and Col. James P. Major’s brigades to take Donaldsonville. The Union had built Fort Butler, which the Rebels had to take before occupying the town. On the night of June 27, Green, within a mile and a half of the fort, began moving troops ahead to attack. The attack started soon after midnight, and the Confederates quickly surrounded the fort and began passing through the various obstructions. Unfortunately, those troops attacking along the levee came to a ditch, unknown to them, too wide to cross, that s"
LA014,Goddrich's Landing,"The Mounds, Lake Providence",LA,6/29/1863,6/30/1863,Grant's Operations Against Vicksburg,Indecisive,32.809844,-91.193392,Wikidata Q4871528,"After Union forces began occupying the Louisiana river parishes, thousands of escaped slaves flocked to them. The Federals, therefore, leased some plantations and put the freedmen to work growing cotton or other crops; the proceeds from the sale of the crops helped defray expenses for food, clothing, etc. African-American troops were assigned to protect these plantations, releasing other troops to fight. Confederates, determined to recapture some of these freedmen and destroy the crops, undertook an expedition from Gaines’s Landing, Arkansas, to Lake Providence. The Federals had constructed a "
LA015,Kock's Plantation,Cox's Plantation,LA,7/12/1863,7/15/1863,Taylor's Operations in Louisiana West of Mississip,Confederate Victory,30.0865,-91.0295,Wikidata Q2421798,"Following the surrender of Port Hudson, two Union divisions were shifted to Donaldsonville by transports, to move inland and pacify the interior. They marched up Bayou Lafourche, a division on each bank. Confederate Brig. Gen. Tom Green posted a brigade on the east side of the bayou and placed his second brigade on the other side. As the Union forces advanced, skirmishing occurred on July 11 and 12. On the morning of the 13th, a foraging detachment set out along both banks of the bayou. Upon reaching Kock’s Plantation (Saint Emma Plantation) they met Rebel skirmishers that forced them back. Th"
LA016,Stirling's Plantation,Fordoche Bridge,LA,9/29/1863,9/29/1863,Taylor's Operations in Louisiana West of Mississip,Confederate Victory,30.6834,-91.6596,Wikidata Q4872441,"Following the Union defeat at Sabine Pass earlier in the month, Maj. Gen. Nathaniel P. Banks intended to occupy important locations in Texas. He decided to send troops up the Bayou Teche, disembark them on the plains and march overland to Texas. Maj. Gen. Ulysses S. Grant sent him a division, commanded by Maj. Gen. Napoleon J.T. Dana to garrison Morganza and prevent Rebel troops from operating on the Atchafalaya River. A 1,000-man detachment, under the command of Lt. Col. J.B. Leake, was at Stirling’s Plantation to guard the road to the Atchafalaya River and deter any enemy troops from passing"
LA017,Fort DeRussy,,LA,3/14/1864,3/14/1864,Red River Campaign,Union Victory,31.1838,-92.05436,Wikidata Q2766079,"The Union launched a multi-purpose expedition into Rebel Gen. E. Kirby Smith’s Trans-Mississippi Department, headquartered in Shreveport, Louisiana, in early 1864. Maj. Gen. Nathaniel P. Banks and Rear Adm. David D. Porter jointly commanded the combined force. Porter’s fleet and Brig. Gen. A.J. Smith's XVI and XVII Army Corps detachments of the Army of the Tennessee set out on March 12, 1864, up the Red River, the most direct route to Shreveport. Banks with the XIII and XIX Army Corps advanced by way of Berwick Bay and Bayou Teche. After removing various obstructions that the Rebels had placed"
LA018,Mansfield,"Sabine Cross Roads, Pleasant Grove",LA,4/8/1864,4/8/1864,Red River Campaign,Confederate Victory,32.0121,-93.6652,Wikidata Q676148,"By this time, Maj. Gen. Nathaniel P. Bank’s Red River Expedition had advanced about 150 miles up Red River. Maj. Gen. Richard Taylor, without any instructions from his commander, Gen. E. Kirby Smith, decided that it was time to try and stem this Union drive. He established a defensive position just below Mansfield, near Sabine Cross-Roads, an important communications center. On April 8, Banks’s men approached, driving Confederate cavalry before them. For the rest of the morning, the Federals probed the Rebel lines. In late afternoon, Taylor, though outnumbered, decided to attack. His men made "
LA019,Pleasant Hill,,LA,4/9/1864,4/9/1864,Red River Campaign,Union Victory,31.853333333,-93.513888888,Wikidata Q572095,"By April 1864, Maj. Gen. Nathaniel P. Banks’s Red River Expedition had advanced about 150 miles up Red River. Maj. Gen. Richard Taylor, commander of the Confederate forces in the area, decided, without any instructions from his commander Gen. E. Kirby Smith, that it was time to try and stem this Union drive. Taylor gained a victory at Mansfield on April 8. Banks withdrew from that battlefield to Pleasant Hill, but he knew that fighting would resume the next day. Early on the 9th, Taylor’s reinforced forces marched toward Pleasant Hill in the hopes of finishing the destruction of the Union forc"
LA020,Blair's Landing,Pleasant Hill Landing,LA,4/12/1864,4/12/1864,Red River Campaign,Union Victory,31.941,-93.289,Wikidata Q2794549,"After the battle of Pleasant Hill on April 9, Brig. Gen. Tom Green led his men to Pleasant Hill Landing on the Red River, where, about 4:00 pm on April 12, they discovered grounded and damaged Union transports and gunboats, the XVI and XVII army corps river transportation, and U.S. Navy gunboats, with supplies and armament aboard. Union Brig. Gen. Thomas Kilby Smith’s Provisional Division, XVII Corps, troops, and the Navy gunboats furnished protection for the army transports. Green and his men charged the boats. When Green attacked, Smith’s men used great ingenuity in defending the boats and d"
LA021,Monett's Ferry,Cane River Crossing,LA,4/23/1864,4/23/1864,Red River Campaign,Union Victory,31.498,-92.857,Wikidata Q2284930,"Near the end of the Red River Expedition, Maj. Gen. Nathaniel P. Banks’s army evacuated Grand Ecore and retreated to Alexandria, pursued by Confederate forces. Banks’s advance party, commanded by Brig. Gen. William H. Emory, encountered Brig. Gen. Hamilton P. Bee’s cavalry division near Monett’s Ferry (Cane River Crossing) on the morning of April 23. Bee had been ordered to dispute Emory’s crossing, and he placed his men so that natural features covered both his flanks. Reluctant to assault the Rebels in their strong position, Emory demonstrated in front of the Confederate lines, while two bri"
LA022,Mansura,"Smith's Place, Marksville",LA,5/16/1864,5/16/1864,Red River Campaign,Union Victory,31.055,-92.04777778,Wikidata Q2067243,"As Maj. Gen. Nathaniel P. Banks’s Red River Expeditionary Force retreated down Red River, Confederate forces under Maj. Gen. Richard Taylor attempted to slow the Union troops’ movements and, if possible, deplete their numbers or, better yet, destroy them. The Union forces passed Fort DeRussy, reached Marksville, and then continued east. At Mansura, Taylor massed his forces in an open prairie that controlled access to the three roads traversing the area, where he hoped his artillery could cause many casualties. Early on the morning of May 16, the Union forces approached, and skirmishing quickly"
LA023,Yellow Bayou,Norwood's Plantation,LA,5/18/1864,5/18/1864,Red River Campaign,Union Victory (strategic),30.9985,-91.8668,Wikidata Q2000388,"Maj. Gen. Nathaniel P. Banks during his retreat in the Red River Campaign, following the battles of Mansfield and Pleasant Hill, reached the Atchafalaya River on May 17. Once on the other side of the river he would be shielded from the continuous Confederate harassment. But, he had to wait to cross the river until the army engineers constructed a bridge. On the 18th, Banks learned that Maj. Gen. Richard Taylor’s force was near Yellow Bayou so he ordered Brig. Gen. A.J. Smith to stop them. Since Smith could not comply himself, he ordered Brig. Gen. Joseph A. Mower to meet Taylor. The Yankees at"
MD001,Hancock,Romney Campaign,MD,1/5/1862,1/6/1862,Jackson's Operations Against the B&O RR,Indecisive,39.6957,-78.177,Wikidata Q2003883,"On January 1, Maj. Gen. Thomas J. ’Stonewall’ Jackson marched north in bitter cold from Winchester to Bath with the objective of disrupting traffic on the B&O Railroad and C&O Canal. On January 5, after skirmishing with the retiring Federals, Jackson’s force reached the Potomac River opposite the garrisoned town of Hancock, Maryland. His artillery fired on the town from Orrick’s Hill but did little damage. Union garrison commander Brig. Gen. F.W. Lander refused Jackson’s demands for surrender. Jackson continued the bombardment for two days while unsuccessfully searching for a safe river crossi"
MD002,South Mountain,"Crampton's Gap, Turner's Gap, Fox's Gap",MD,9/14/1862,9/14/1862,Maryland Campaign,Indecisive,39.48501,-77.62161,Wikidata Q1542829,"After invading Maryland in September 1862, Gen. Robert E. Lee divided his army to march on and invest Harpers Ferry. The Army of the Potomac under Maj. Gen. George B. McClellan pursued the Confederates to Frederick, Maryland, then advanced on South Mountain. On September 14, pitched battles were fought for possession of the South Mountain passes: Crampton’s, Turner’s, and Fox’s Gaps. By dusk the Confederate defenders were driven back, suffering severe casualties, and McClellan was in position to destroy Lee’s army before it could reconcentrate. McClellan’s limited activity on September 15 afte"
MD003,Antietam,Sharpsburg,MD,9/16/1862,9/17/1862,Maryland Campaign,Indecisive,39.473333333,-77.744722222,Wikidata Q719252,"On September 16, Maj. Gen. George B. McClellan confronted Lee’s Army of Northern Virginia at Sharpsburg, Maryland. At dawn September 17, Hooker’s corps mounted a powerful assault on Lee’s left flank that began the single bloodiest day in American military history. Attacks and counterattacks swept across Miller’s cornfield and fighting swirled around the Dunker Church. Union assaults against the Sunken Road eventually pierced the Confederate center, but the Federal advantage was not followed up. Late in the day, Burnside’s corps finally got into action, crossing the stone bridge over Antietam C"
MD004,Williamsport,"Hagerstown, Falling Waters",MD,7/6/1863,7/6/1863,Gettysburg Campaign,Indecisive,39.63333333,-77.71666667,Wikidata Q841297,"During the night of July 4-5, Lee's battered army began its retreat from Gettysburg, moving southwest on the Fairfield Road toward Hagerstown and Williamsport, screened by Stuart’s cavalry. The Union infantry followed cautiously the next day, converging on Middletown, Maryland. On July 7, Imboden (CS) stopped Buford’s Union cavalry from occupying Williamsport and destroying Confederate trains. Kilpatrick’s cavalry division drove two Confederate cavalry brigades through Hagerstown before being forced to retire by the arrival of the rest of Stuart’s command. Lee’s infantry reached the rain-swoll"
MD006,Boonsboro,,MD,7/8/1863,7/14/1863,Gettysburg Campaign,Indecisive,39.5254,-77.6632,Wikidata Q841150,"On July 8, the Confederate cavalry, holding the South Mountain passes, fought a rearguard action against elements of the Union 1st and 3rd Cavalry Divisions and infantry. This action was one of a series of cavalry combats fought around Boonsboro, Hagerstown, and Williamsport."
MD007,Monocacy,Battle that Saved Washington,MD,7/9/1864,7/9/1864,Early's Raid and Operations Against B&O RR,Confederate Victory,39.3711,-77.392,Wikidata Q2667265,"After marching north through the Shenandoah Valley from Lynchburg, the Confederate army of Lt. Gen. Jubal A. Early side-stepped the Federal garrison at Harpers Ferry and crossed the Potomac River at Shepherdstown into Maryland on July 5-6. On July 9, 1864, a makeshift Union force under Maj. Gen. Lew Wallace attempted to arrest Early’s invading Confederate divisions along the Monocacy River, just east of Frederick. Wallace, joined by Ricketts’s Division of the VI Corps that had been rushed from the Petersburg lines, was outflanked by Gordon’s Division and defeated after putting up a stiff resis"
MD008,Folck's Mill,Cumberland,MD,8/1/1864,8/1/1864,Early's Raid and Operations Against B&O RR,Indecisive,39.6639,-78.753,Wikidata Q4871028,"After burning Chambersburg, Pennsylvania, on July 30, Johnson’s and McCausland’s cavalry brigades rode towards Cumberland, Maryland, to disrupt the B&O Railroad. Brig. Gen. Benjamin Kelly organized a small force of soldiers and citizens to meet the Confederate advance. On August 1, Kelly ambushed Rebel cavalrymen near Cumberland at Folck’s Mill, and skirmishing continued for several hours. Eventually the Confederates withdrew."
MN001,Fort Ridgley,,MN,8/20/1862,8/22/1862,Operations to Suppress the Sioux Uprising,Union Victory,43.7474553,-91.540267,"OpenStreetMap: Fort Ridgley Road, Houston Township, Houston County, Minnesota, 55943, United States","In August 1862, the Santee Sioux of Minnesota under Chief Little Crow, angered by the failure of the Federal government to provide annuities and by the poor quality of rations, went on the offensive. They killed approximately 800 settlers and soldiers, took many prisoners, and caused extensive property damage throughout the Minnesota River Valley. Fort Ridgely, about twelve miles from the Lower Sioux Agency, became the refuge for white civilians. The fort’s commander, Capt. John S. Marsh, set out with most of his men for the Lower Sioux Agency. Before reaching the agency, a large Native Americ"
MN002,Wood Lake,,MN,9/23/1862,9/23/1862,Operations to Suppress the Sioux Uprising,Union Victory,44.6527349,-95.5383495,"OpenStreetMap: Wood Lake, Yellow Medicine County, Minnesota, United States","On September 19, 1862, Col. Henry Hastings Sibley set out from Fort Ridgely with 1,500 volunteers to put down the Santee uprising. As they neared Wood Lake on September 23, Sibley’s men escaped an ambush by 700 warriors under Chief Little Crow and engaged them in a battle. Sibley’s force won the day inflicting heavy casualties on the Sioux. For this action, Sibley received a promotion to brigadier general. Wood Lake was the first decisive defeat of the Sioux since the uprising began."
MO001,Boonville,First Battle of Boonville,MO,6/17/1861,6/17/1861,Operations to Constrol Missouri,Union Victory,38.9591,-92.659816666,Wikidata Q2451867,"Claiborne Jackson, the pro-Southern Governor of Missouri, wanted the state to secede and join the Confederacy. Union Brig. Gen. Nathaniel Lyon set out to put down Jackson’s Missouri State Guard, commanded by Sterling Price. Reaching Jefferson City, the state capital, Lyon discovered that Jackson and Price had retreated towards Boonville. Lyon reembarked on steamboats, transported his men to below Boonville, marched to the town, and engaged the enemy. In a short fight, Lyon dispersed the Confederates, commanded on the field by Col. John S. Marmaduke, and occupied Boonville. This early victory e"
MO002,Carthage,,MO,7/5/1861,7/5/1861,Operations to Constrol Missouri,Confederate Victory,37.1765141,-94.3103412,"OpenStreetMap: Carthage, Jasper County, Missouri, 64836, United States","Brig. Gen. Nathaniel Lyon had chased Governor Claiborne Jackson and approximately 4,000 State Militia from the State Capital at Jefferson City and from Boonville, and pursued them. Col. Franz Sigel led another force of about 1,000 into southwest Missouri in search of the governor and his loyal troops. Upon learning that Sigel had encamped at Carthage, on the night of July 4, Jackson took command of the troops with him and formulated a plan to attack the much smaller Union force. The next morning, Jackson closed up to Sigel, established a battle line on a ridge ten miles north of Carthage, and "
MO003,Liberty,"Blue Mills Landing, Blue Mills",MO,9/17/1861,9/17/1861,Operations to Constrol Missouri,Confederate Victory,39.246479,-94.419079,"OpenStreetMap: Liberty, Clay County, Missouri, United States","’General’ D.R. Atchison left Lexington on September 15, 1861, and proceeded to Liberty where he met the Missouri State Guard. On the night of September 16-17, his force crossed the Missouri River to the south side and prepared for a fight with Union troops reported to be in the area. At the same time, Union Lt. Col. John Scott led a force of about 600 men from Cameron, on the 15th, towards Liberty. He left his camp in Centreville, at 2:00 am on the 17th. He arrived in Liberty, sent scouts out to find the enemy, and, about 11:00 am, skirmishing began. At noon, Scott marched in the direction of "
MO004,Wilson's Creek,Oak Hills,MO,8/10/1861,8/10/1861,Operations to Constrol Missouri,Confederate Victory,37.1663822,-93.3732811,"OpenStreetMap: Wilson's Creek, Springfield, Greene County, Missouri, United States","Brig. Gen. Nathaniel Lyon’s Army of the West was camped at Springfield, Missouri, with Confederate troops under the commands of Brig. Gen. Ben McCulloch approaching. On August 9, both sides formulated plans to attack the other. About 5:00 am on the 10th, Lyon, in two columns commanded by himself and Col. Franz Sigel, attacked the Confederates on Wilson’s Creek about 12 miles southwest of Springfield. Rebel cavalry received the first blow and fell back away from Bloody Hill. Confederate forces soon rushed up and stabilized their positions. The Confederates attacked the Union forces three times "
MO005,Dry Wood Creek,"Big Dry Wood Creek, Battle of the Mules",MO,9/2/1861,9/2/1861,Operations to Constrol Missouri,Confederate Victory,37.8197,-94.4862,Wikidata Q2540993,"Col. J.H. Lane’s cavalry, comprising about 600 men, set out from Fort Scott to learn the whereabouts of a rumored Confederate force. They encountered a Confederate force, about 6,000-strong, near Big Dry Wood Creek. The Union cavalry surprised the Confederates, but their numerical superiority soon determined the encounter’s outcome. They forced the Union cavalry to retire and captured their mules, and the Confederates continued on towards Lexington. The Confederates were forcing the Federals to abandon southwestern Missouri and to concentrate on holding the Missouri Valley."
MO006,Lexington I,Battle of the Hemp Bales,MO,9/13/1861,9/20/1861,Operations to Constrol Missouri,Confederate Victory,39.18305556,-93.875,Wikidata Q3808722,"Following the victory at Wilson’s Creek, the Confederate Missouri State Guard, having consolidated forces in the northern and central part of the state, marched, under the command of Maj. Gen. Sterling Price, on Lexington. Col. James A. Mulligan commanded the entrenched Union garrison of about 3,500 men. Price’s men first encountered Union skirmishers on September 13 south of town and pushed them back into the fortifications. Price, having bottled the Union troops up in Lexington, decided to await his ammunition wagons, other supplies, and reinforcements before assaulting the fortifications. B"
MO007,Fredericktown,,MO,10/21/1861,10/21/1861,Operations to Constrol Missouri,Union Victory,37.5597754,-90.294007,"OpenStreetMap: Fredericktown, Madison County, Missouri, United States","Two Union columns, one under Col. J.B. Plummer and another under Col. William P. Carlin, advanced on Fredericktown to overtake Brig. Gen. M. Jeff Thompson and his men. On the morning of October 21, Thompson’s force left Fredericktown headed south. About twelve miles out, Thompson left his supply train in a secure position and returned toward Fredericktown. He then learned that Union forces had occupied Fredericktown, so Thompson spent the morning attempting to discern the enemy numbers and disposition. Unable to do so, he attacked anyway, around noon. Plummer, with his force and a detachment o"
MO008,Springfield I,Zagonyi's Charge,MO,10/25/1861,10/25/1861,Operations to Constrol Missouri,Union Victory,37.195,-93.3021,Wikidata Q2941587,"Having accomplished little since taking command of the Western Department, with headquarters in St. Louis, Missouri, Maj. Gen. John C. Fr’mont formulated a plan to clear Maj. Gen. Sterling Price’s Rebels from the state and then, if possible, carry the war into Arkansas and Louisiana. Leaving St. Louis on October 7, 1861, Fr’mont’s combined force eventually numbered more than 20,000. His accompanying cavalry force, numbering 5,000 men and other mounted troops, included Maj. Frank J. White’s Prairie Scouts and Fr’mont's Body Guards under Maj. Charles Zagonyi. Maj. White became ill and turned his"
MO009,Belmont,,MO,11/7/1861,11/7/1861,Operations at the Ohio - Mississippi River Conflue,Union Victory,36.7664457,-89.1217338,"OpenStreetMap: Belmont Landing, Mississippi County, Missouri, 42032, United States","On November 6, 1861, Brig. Gen. U.S. Grant left Cairo, Illinois, by steamers, in conjunction with two gunboats, to make a demonstration against Columbus, Kentucky. The next morning, Grant learned that Confederate troops had crossed the Mississippi River from Columbus to Belmont, Missouri, to intercept two detachments sent in pursuit of Brig. Gen. M. Jeff Thompson and, possibly, to reinforce Maj. Gen. Sterling Price’s force. He landed on the Missouri shore, out of the range of Confederate artillery at Columbus, and started marching the mile to Belmont. At 9:00 in the morning, an engagement bega"
MO011,Roan's Tan Yard,Silver Creek,MO,1/8/1862,1/8/1862,Operations in Northeast Missouri,Union Victory,39.3246,-92.5584,Wikidata Q2426213,"Rumors and sightings of a Confederate force in the Howard County area had circulated for more than a week, but the Union troops could not locate them. On January 7, 1862, information came to hand that Col. J.A. Poindexter and his Confederate force were camped on Silver Creek. Detachments from various Union units came together and headed towards the Confederate camp which was about 14 miles northwest of Fayette. After finding the camp, the force attacked, routing the enemy and sending those that were not killed, wounded, or captured fleeing for safety. Afterwards, the Union force destroyed the "
MO013,Kirksville,,MO,8/6/1862,8/9/1862,Confederate Offensive North of Boston Mountains,Union Victory,40.19,-92.6,Wikidata Q2551448,"Col. John McNeil and his troops, numbering about 1,000, had been pursuing Col. Joseph C. Porter and his Confederate Missouri Brigade of 2,500 men for more than a week. Before noon on August 6, McNeil attacked Porter in the town of Kirksville, where his men had hidden themselves in homes and stores and among the crops in the nearby fields. After almost three hours of fighting, the Yankees secured the town, captured numerous prisoners, and chased the others away. Three days later, another Union force met and finished the work begun at Kirksville, destroying Porter’s command. Kirksville helped co"
MO014,Independence I,,MO,8/11/1862,8/11/1862,Confederate Offensive North of Boston Mountains,Confederate Victory,39.0856,-94.4412,Wikidata Q3808756,"On August 11, 1862, Col. J.T. Hughes’s Confederate force, including William Quantrill, attacked Independence, at dawn, in two columns on different roads. They drove through the town to the Union Army camp, capturing, killing, and scattering the Yankees. Lt. Col. James T. Buel, commander of the garrison, attempted to hold out in one of the buildings with some of his men. Soon the building next to them was on fire, threatening them. Buel then, by means of a flag of truce, arranged a meeting with the Confederate commander, Col. G.W. Thompson, who had replaced Col. J.T. Hughes, killed earlier. Bue"
MO015,Lone Jack,,MO,8/15/1862,8/16/1862,Confederate Offensive North of Boston Mountains,Confederate Victory,38.87055556,-94.18805556,Wikidata Q2889158,"Maj. Emory S. Foster, under orders, led an 800-man combined force from Lexington to Lone Jack. Upon reaching the Lone Jack area, he discovered 1,600 Rebels under Col. J.T. Coffee and prepared to attack them. About 9:00 pm on the 15th, he and his men attacked the Confederate camp and dispersed the force. Early the next morning, Union pickets informed Foster that a 3,000-man Confederate force was advancing on him. Soon afterwards, this force attacked and a battle ensued that involved charges, retreats, and counterattacks. After five hours of fighting and the loss of Foster, Coffee and his 1,500 "
MO016,Newtonia I,,MO,9/30/1862,9/30/1862,Confederate Offensive North of Boston Mountains,Confederate Victory,36.8739,-94.1903,Wikidata Q3853836,"Following the Battle of Pea Ridge, in March 1862, most Confederate and Union troops left northwestern Arkansas and southwestern Missouri. By late summer, Confederates returned to the area, which caused much apprehension in nearby Federally-occupied Springfield, Missouri, and Fort Scott, Kansas. Confederate Col. Douglas Cooper reached the area on the 27th and assigned two of his units to Newtonia where there was a mill for making breadstuffs. In mid-September, two brigades of Brig. Gen. James G. Blunt’s Union Army of Kansas left Fort Scott for Southwest Missouri. On the 29th, Union scouts appro"
MO017,Clark's Mill,Vera Cruz,MO,11/7/1862,11/7/1862,Confederate Offensive North of Boston Mountains,Confederate Victory,36.9207,-92.4888,Wikidata Q1819989,Union forces under Capt. Barstow surrendered to Confederate forces under Cols. Burbridge and Greene.
MO018,Springfield II,,MO,1/8/1863,1/8/1863,Marmaduke's Expedition Into Missouri,Union Victory,37.195,-93.3021,Wikidata Q2941587,"Brig. Gen. John S. Marmaduke’s expedition into Missouri reached Ozark, where it destroyed the Union post, and then approached Springfield on the morning of January 8, 1863. Springfield was an important Federal communications center and supply depot so the Rebels wished to destroy it. The Union army had constructed fortifications to defend the town. Their ranks, however, were depleted because Francis J. Herron’s two divisions had not yet returned from their victory at Prairie Grove on December 7. After receiving a report on January 7 of the Rebels’ approach, Brig. Gen. Egbert B. Brown set about"
MO019,Hartville,,MO,1/9/1863,1/11/1863,Marmaduke's Expedition Into Missouri,Confederate Victory,37.2511,-92.5111,Wikidata Q2198831,"John S. Marmaduke led a Confederate raid into Missouri in early January 1863. This movement was two-pronged. Col. Joseph C. Porter led one column, comprising his Missouri Cavalry Brigade, out of Pocahontas, Arkansas, to assault Union posts around Hartville, Missouri. When he neared Hartville, on January 9, he sent a detachment forward to reconnoiter. It succeeded in capturing the small garrison and occupying the town. The same day, Porter moved on toward Marshfield. On the 10th, some of Porter’s men raided other Union installations in the area before catching up with Marmaduke’s column east of"
MO020,Cape Girardeau,,MO,4/26/1863,4/26/1863,Marmaduke's Second Expedition Into Missouri,Union Victory,37.304731,-89.5176418,"OpenStreetMap: Cape Girardeau, Cape Girardeau County, Missouri, United States","Brig. Gen. John S. Marmaduke sought to strike Brig. Gen. John McNeil, with his combined force of about 2,000 men, at Bloomfield, Missouri. McNeil retreated and Marmaduke followed. Marmaduke received notification, on April 25, that McNeil was near Cape Girardeau. He sent troops to destroy or capture McNeil’s force, but then he learned that the Federals had placed themselves in the fortifications. Marmaduke ordered one of his brigades to make a demonstration to ascertain the Federals’ strength. Col. John S. Shelby’s brigade made the demonstration which escalated into an attack. Those Union force"
MO021,Fort Davidson,Pilot Knob,MO,9/26/1864,9/28/1864,Price's Missouri Expedition,Union Victory,37.6194,-90.6415,Wikidata Q2579523,"In September 1864, a Confederate army under Maj. Gen. Sterling Price crossed into Missouri with the goal of capturing St. Louis. Union Brig. Gen. Thomas Ewing moved with reinforcements down the railroad to Ironton to retard Price’s advance. On the morning of September 27, the Confederates attacked, driving the Federals back into their defenses anchored by Fort Davidson. In the late afternoon, Price unsuccessfully assaulted the fort repeatedly, suffering heavy casualties. Price, considering the possible time involved, had dismissed the possibility of mounting guns on the high ground to compel t"
MO023,Lexington II,,MO,10/19/1864,10/19/1864,Price's Missouri Expedition,Confederate Victory,39.18305556,-93.875,Wikidata Q3808722,"Maj. Gen. Sterling Price’s march along the Missouri River was slow, providing the Yankees a chance to concentrate. Maj. Gen. William S. Rosecrans, commanding the Department of the Missouri, proposed a pincer movement to trap Price and his army, but he was unable to communicate with Maj. Gen. Samuel R. Curtis, commander of the Department of Kansas, to formalize the plan. Curtis was having problems because many of his troops were Kansas militia and they refused to enter Missouri, but a force of 2,000 men under the command of Maj. Gen. James G. Blunt did set out for Lexington. On October 19, Pric"
MO024,Little Blue River,Westport,MO,10/21/1864,10/21/1864,Price's Missouri Expedition,Confederate Victory,39.1369,-94.3139,Wikidata Q4871572,"Price’s march along the Missouri River was slow, providing the Yankees a chance to concentrate. Maj. Gen. William S. Rosecrans, commanding the Department of the Missouri, proposed a pincer movement to trap Price and his army, but he was unable to communicate with Maj. Gen. Samuel R. Curtis, commander of the Department of Kansas, to formalize the plan. Curtis was having problems because many of his troops were Kansas militia and they refused to enter Missouri, but a force of about 2,000 men under the command of Maj. Gen. James G. Blunt did set out for Lexington. He met the Confederate troops at"
MO025,Independence II,,MO,10/22/1864,10/22/1864,Price's Missouri Expedition,Confederate Victory,39.0856,-94.4412,Wikidata Q3808756,"Maj. Gen. Sterling Price’s army rode west in the direction of Kansas City. On the night of the 21st, he camped at Independence and resumed his westward march the next morning with Brig. Gen. Joe Shelby’s division in the lead followed by Brig. Gen. John S. Marmaduke’s division, with Brig. Gen. James Fagan’s division bringing up the rear. While Shelby’s men met success at Byram’s Ford, the other two columns did not fare as well. Maj. Gen. Alfred Pleasonton’s Union force crossed the Little Blue, beat up a Rebel brigade in Fagan’s command, and occupied Independence. Marmaduke’s division then met P"
MO026,Byram's Ford,Big Blue River,MO,10/22/1864,10/23/1864,Price's Missouri Expedition,Union Victory,39.0228,-94.5307,Wikidata Q4870600,"Maj. Gen. Sterling Price’s Army of Missouri was headed west towards Kansas City and Fort Leavenworth. Maj. Gen. Samuel R. Curtis’s Army of the Border, in and around Westport, was blocking the Confederates’ way west and Maj. Gen. Alfred Pleasonton’s provisional cavalry division was pressing Price’s army’s rear. Price had nearly 500 wagons with him and required a good ford over the Big Blue River to facilitate the passage of his supplies. Byram’s Ford was the best ford in the area and became a strategic point during the fighting around Westport. On October 22, Maj. Gen. James G. Blunt’s division"
